:mode=ask
:IOAccess;Application;Topic;AdviseActive;DDEProtocol
"plc9";"finsgtwy";"plc9";Yes;No
"plc8";"finsgtwy";"plc8";Yes;No
"plc1";"finsgtwy";"plc1";Yes;No
"plc6";"finsgtwy";"plc6";Yes;No
"plc5";"finsgtwy";"plc5";Yes;No
"plc4";"finsgtwy";"plc4";Yes;No
"plc3";"finsgtwy";"plc3";Yes;No
"plc2";"finsgtwy";"plc2";Yes;No
"MODBUS_STATUS";"VIEW";"IOSTATUS";Yes;No
"INT";"modbus";"INT";Yes;Yes
"plc7";"finsgtwy";"plc7";Yes;No
"INTOUCH";"finsgtwy";"INTOUCH";Yes;No
:MemoryDisc;Group;Comment;Logged;EventLogged;EventLoggingPriority;RetentiveValue;InitialDisc;OffMsg;OnMsg;AlarmState;AlarmPri;AlarmComment;AlarmAckModel;DSCAlarmDisable;DSCAlarmInhibitor
"N137\OFF";"$System";"Выключить";No;No;0;No;Off;"";"";On;520;Direct;"plc3";No;"D1432.01";No;"Н 137 : Выключить (от диспетчера)";0;0;""
"N139\F01";"$System";"Нет питания";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5177.00";Yes;"Н 139 : Нет питания";0;0;""
"N139\F02";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5177.01";Yes;"Н 139 : Нажата кнопка ''СТОП''";0;0;""
"N139\F09";"$System";"Экстренный стоп";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5177.08";Yes;"Н 139 : Экстренный стоп";0;0;""
"N139\F11";"$System";"Нет исполнения команд";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5177.10";Yes;"Н 139 : Нет исполнения команд";0;0;""
"N139\F12";"$System";"Нет связи с контроллером";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5177.11";Yes;"Н 139 : Нет связи с контроллером";0;0;""
"N139\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5177.12";Yes;"Н 139 : Неготовность";0;0;""
"N139\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5177.13";Yes;"Н 139 : Пуск";0;0;""
"N139\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5177.14";Yes;"Н 139 : Работа";0;0;""
"N139\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5177.15";Yes;"Н 139 : Авария";0;0;""
"N139\F20";"$System";"Сработала защита двигателя";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5177.05";Yes;"Н 139 : Сработала защита двигателя";0;0;""
"N139\ON";"$System";"Включить";No;No;0;No;Off;"";"";On;520;Direct;"plc3";No;"D1438.00";No;"Н 139 : Включить (от диспетчера)";0;0;""
"N139\OFF";"$System";"Выключить";No;No;0;No;Off;"";"";On;520;Direct;"plc3";No;"D1438.01";No;"Н 139 : Выключить (от диспетчера)";0;0;""
"N140\F01";"$System";"Нет питания";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5433.00";Yes;"Н 140 : Нет питания";0;0;""
"N140\F02";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5433.01";Yes;"Н 140 : Нажата кнопка ''СТОП''";0;0;""
"N140\F09";"$System";"Экстренный стоп";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5433.08";Yes;"Н 140 : Экстренный стоп";0;0;""
"N140\F11";"$System";"Нет исполнения команд";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5433.10";Yes;"Н 140 : Нет исполнения команд";0;0;""
"N140\F12";"$System";"Нет связи с контроллером";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5433.11";Yes;"Н 140 : Нет связи с контроллером";0;0;""
"N140\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc5";No;"5433.12";Yes;"Н 140 : Неготовность";0;0;""
"N140\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc5";No;"5433.13";Yes;"Н 140 : Пуск";0;0;""
"N140\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc5";No;"5433.14";Yes;"Н 140 : Работа";0;0;""
"N140\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc5";No;"5433.15";Yes;"Н 140 : Авария";0;0;""
"N140\F17";"$System";"Нижний уровень в баке осветленной воды";No;No;0;No;Off;"";"";On;720;Direct;"plc5";No;"5433.07";Yes;"Н 140 : Нижний уровень в баке осветленной воды";0;0;""
"N213\F19";"$System";"Блокировка от поз.206";No;No;0;No;Off;"";"";On;320;Direct;"plc8";No;"4535.00";Yes;"Н 213 : Блокировка от поз.206";0;0;""
"N140\F20";"$System";"Сработала защита двигателя";No;No;0;No;Off;"";"";On;720;Direct;"plc5";No;"5434.03";Yes;"Н 140 : Сработала защита двигателя";0;0;""
"N140\ON";"$System";"Включить";No;No;0;No;Off;"";"";On;520;Direct;"plc5";No;"D1802.00";No;"Н 140 : Включить";0;0;""
"N140\OFF";"$System";"Выключить";No;No;0;No;Off;"";"";On;520;Direct;"plc5";No;"D1802.01";No;"Н 140 : Выключить";0;0;""
"N204\F05";"$System";"Верхний уровень в баке";No;No;0;No;Off;"";"";On;720;Direct;"plc8";No;"3846.03";Yes;"Н 204 : Верхний уровень в баке";0;0;""
"N204\F06";"$System";"Блокировка от поз.208";No;No;0;No;Off;"";"";On;720;Direct;"plc8";No;"4505.05";Yes;"Н 204 : Блокировка от поз.208";0;0;""
"N204\F04";"$System";"Нет исполнения комманд";No;No;0;No;Off;"";"";On;320;Direct;"plc8";No;"4505.03";Yes;"Н 204 : Нет исполнения комманд";0;0;""
"N204\F03";"$System";"Нет питания";No;No;0;No;Off;"";"";On;320;Direct;"plc8";No;"4505.02";Yes;"Н 204 : Нет питания";0;0;""
"N204\F02";"$System";"Авария частотника";No;No;0;No;Off;"";"";On;320;Direct;"plc8";No;"4505.01";Yes;"Н 204 : Авария частотника";0;0;""
"N204\F01";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc8";No;"4505.00";Yes;"Н 204 : Нажата кнопка ''СТОП''";0;0;""
"N141\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4515.07";Yes;"Н 141 : Авария";0;0;""
"N141\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4515.06";Yes;"Н 141 : Работа";0;0;""
"N141\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4515.05";Yes;"Н 141 : Пуск";0;0;""
"N141\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4515.04";Yes;"Н 141 : Неготовность";0;0;""
"N141\F11";"$System";"Не исполняются команды";No;No;0;No;Off;"";"";On;320;Direct;"plc8";No;"4515.01";Yes;"Н 141 : Не исполняются команды";0;0;""
"N141\F08";"$System";"Сработала защита двигателя";No;No;0;No;Off;"";"";On;320;Direct;"plc8";No;"4515.02";Yes;"Н 141 : Сработала защита двигателя";0;0;""
"N141\F02";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc8";No;"4515.00";Yes;"Н 141 : Нажата кнопка ''СТОП''";0;0;""
"N141\F01";"$System";"Нет питания";No;No;0;No;Off;"";"";On;320;Direct;"plc8";No;"4515.03";Yes;"Н 141 : Нет питания";0;0;""
"N143\F01";"$System";"Нет питания";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5161.00";Yes;"Н 143 : Нет питания";0;0;""
"N143\F02";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5161.01";Yes;"Н 143 : Нажата кнопка ''СТОП''";0;0;""
"N143\F05";"$System";"Режим ''Автомат''";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5161.04";Yes;"Н 143 : Режим ''Автомат''";0;0;""
"N143\F06";"$System";"Режим ''Местный''";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5161.05";Yes;"Н 143 : Режим ''Местный''";0;0;""
"N143\F09";"$System";"Экстренный стоп";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5161.08";Yes;"Н 143 : Экстренный стоп";0;0;""
"N143\F10";"$System";"Сработала защита двигателя";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5162.02";Yes;"Н 143 : Сработала защита двигателя";0;0;""
"N143\F11";"$System";"Не исполняются команды";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5161.10";Yes;"Н 143 : Не исполняются команды";0;0;""
"N143\F12";"$System";"Нет связи с контроллером";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5161.11";Yes;"Н 143 : Нет связи с контроллером";0;0;""
"N143\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5161.12";Yes;"Н 143 : Неготовность";0;0;""
"N143\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5161.13";Yes;"Н 143 : Пуск";0;0;""
"N143\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5161.14";Yes;"Н 143 : Работа";0;0;""
"N143\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5161.15";Yes;"Н 143 : Авария";0;0;""
"N143\ON";"$System";"Включить";No;No;0;No;Off;"";"";On;520;Direct;"plc3";No;"D1434.00";No;"Н 143 : Включить (от диспетчера)";0;0;""
"N143\OFF";"$System";"Выключить";No;No;0;No;Off;"";"";On;520;Direct;"plc3";No;"D1434.01";No;"Н 143 : Выключить (от диспетчера)";0;0;""
"N145\F01";"$System";"Нет питания";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5169.00";Yes;"Н 145 : Нет питания";0;0;""
"N145\F02";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5169.01";Yes;"Н 145 : Нажата кнопка ''СТОП''";0;0;""
"N145\F09";"$System";"Экстренный стоп";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5169.08";Yes;"Н 145 : Экстренный стоп";0;0;""
"N145\F11";"$System";"Нет исполнения команд";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5169.10";Yes;"Н 145 : Нет исполнения команд";0;0;""
"N145\F12";"$System";"Нет связи с контроллером";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5169.11";Yes;"Н 145 : Нет связи с контроллером";0;0;""
"N145\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5169.12";Yes;"Н 145 : Неготовность";0;0;""
"N145\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5169.13";Yes;"Н 145 : Пуск";0;0;""
"N145\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5169.14";Yes;"Н 145 : Работа";0;0;""
"N145\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5169.15";Yes;"Н 145 : Авария";0;0;""
"N145\F18";"$System";"Сработала защита двигателя";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5170.02";Yes;"Н 145 : Сработала защита двигателя";0;0;""
"N145\ON";"$System";"Включить";No;No;0;No;Off;"";"";On;520;Direct;"plc3";No;"D1436.00";No;"Н 145 : Включить (от диспетчера)";0;0;""
"N145\OFF";"$System";"Выключить";No;No;0;No;Off;"";"";On;520;Direct;"plc3";No;"D1436.01";No;"Н 145 : Выключить (от диспетчера)";0;0;""
"N194\F01";"$System";"Нет питания цепей управления";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5425.00";Yes;"Н 194 : Нет питания цепей управления";0;0;""
"N194\F02";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5425.01";Yes;"Н 194 : Нажата кнопка ''СТОП''";0;0;""
"N194\F08";"$System";"Сработала защита двигателя";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5425.07";Yes;"Н 194 : Сработала защита двигателя";0;0;""
"N194\F09";"$System";"Экстренный стоп";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5425.08";Yes;"Н 194 : Экстренный стоп";0;0;""
"N194\F11";"$System";"Нет исполнения команд";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5425.10";Yes;"Н 194 : Нет исполнения команд";0;0;""
"N194\F12";"$System";"Нет связи с контроллером";No;No;0;No;Off;"";"";On;320;Direct;"plc5";No;"5425.11";Yes;"Н 194 : Нет связи с контроллером";0;0;""
"N194\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc5";No;"5425.12";Yes;"Н 194 : Неготовность";0;0;""
"N194\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc5";No;"5425.13";Yes;"Н 194 : Пуск";0;0;""
"N194\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc5";No;"5425.14";Yes;"Н 194 : Работа";0;0;""
"N194\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc5";No;"5425.15";Yes;"Н 194 : Авария";0;0;""
"N194\F17";"$System";"Режим ''Дистанция без блокировок''";No;No;0;No;Off;"";"";On;620;Direct;"plc5";No;"5426.00";Yes;"Н 194 : Режим ''Дистанция без блокировок''";0;0;""
"N194\F20";"$System";"Нет работы поз.176";No;No;0;No;Off;"";"";On;720;Direct;"plc5";No;"5426.03";Yes;"Н 194 : Нет работы поз.176";0;0;""
"N194\ON";"$System";"Включить";No;No;0;No;Off;"";"";On;520;Direct;"plc5";No;"D1800.00";No;"Н 194 : Включить";0;0;""
"N194\OFF";"$System";"Выключить";No;No;0;No;Off;"";"";On;520;Direct;"plc5";No;"D1800.01";No;"Н 194 : Выключить";0;0;""
"N203\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4503.08";Yes;"Н 203 : Неготовность";0;0;""
"N203\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4503.09";Yes;"Н 203 : Пуск";0;0;""
"N203\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4503.10";Yes;"Н 203 : Работа";0;0;""
"N203\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4503.11";Yes;"Н 203 : Авария";0;0;""
"N203\Blok207";"$System";"Блокировка от поз.207";No;No;0;No;Off;"";"";On;720;Direct;"plc4";No;"5457.08";Yes;"Н 203 : Блокировка от поз.207";0;0;""
"N203\Blok208";"$System";"Блокировка от поз.208";No;No;0;No;Off;"";"";On;720;Direct;"plc4";No;"5457.09";Yes;"Н 203 : Блокировка от поз.208";0;0;""
"N204\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4505.08";Yes;"Н 204 : Неготовность";0;0;""
"N204\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4505.09";Yes;"Н 204 : Пуск";0;0;""
"N204\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4505.10";Yes;"Н 204 : Работа";0;0;""
"N204\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4505.11";Yes;"Н 204 : Авария";0;0;""
"N211\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4511.04";Yes;"Н 211 : Неготовность";0;0;""
"N211\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4511.05";Yes;"Н 211 : Пуск";0;0;""
"N211\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4511.06";Yes;"Н 211 : Работа";0;0;""
"N211\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4511.07";Yes;"Н 211 : Авария";0;0;""
"N212\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4512.04";Yes;"Н 212 : Неготовность";0;0;""
"N212\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4512.05";Yes;"Н 212 : Пуск";0;0;""
"N212\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4512.06";Yes;"Н 212 : Работа";0;0;""
"N212\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc8";No;"4512.07";Yes;"Н 212 : Авария";0;0;""
"N92\F01";"$System";"Нет питания";No;No;0;No;Off;"";"";On;320;Direct;"plc4";No;"5358.03";Yes;"Н 92 : Нет питания";0;0;""
"N92\F02";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc4";No;"5358.04";Yes;"Н 92 : Нажата кнопка ''СТОП''";0;0;""
"N92\F05";"$System";"Сработала защита двигателя";No;No;0;No;Off;"";"";On;320;Direct;"plc4";No;"5358.15";Yes;"Н 92 : Сработала защита двигателя";0;0;""
"N92\F09";"$System";"Экстренный стоп";No;No;0;No;Off;"";"";On;320;Direct;"plc4";No;"5358.13";Yes;"Н 92 : Экстренный стоп";0;0;""
"N92\F10";"$System";"Не исполняются команды";No;No;0;No;Off;"";"";On;320;Direct;"plc4";No;"5358.05";Yes;"Н 92 : Не исполняются команды";0;0;""
"N92\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc4";No;"5358.11";Yes;"Н 92 : Неготовность";0;0;""
"N92\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc4";No;"5358.08";Yes;"Н 92 : Пуск";0;0;""
"N92\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc4";No;"5358.09";Yes;"Н 92 : Работа";0;0;""
"N92\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc4";No;"5358.10";Yes;"Н 92 : Авария";0;0;""
"N92\F23";"$System";"Неисправность датчика уровня";No;No;0;No;Off;"";"";On;320;Direct;"plc4";No;"5358.12";Yes;"Н 92 : Неисправность датчика уровня";0;0;""
"N92\UP";"$System";"Верхний уровень";No;No;0;No;Off;"";"";On;720;Direct;"plc4";No;"5358.07";Yes;"Н 92 : Верхний уровень";0;0;""
"N92\DOWN";"$System";"Нижний уровень";No;No;0;No;Off;"";"";On;720;Direct;"plc4";No;"5358.06";Yes;"Н 92 : Нижний уровень";0;0;""
"N92\AVT";"$System";"Работа автономно";No;No;0;No;Off;"";"";On;620;Direct;"plc4";No;"5358.14";Yes;"Н 92 : Работа автономно";0;0;""
"Sp100\F01";"$System";"Нет питания барабана";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5121.00";Yes;"Сп 100 : Нет питания барабана";0;0;""
"Sp100\F02";"$System";"Нажата кнопка ''СТОП'' барабана";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5121.01";Yes;"Сп 100 : Нажата кнопка ''СТОП'' барабана";0;0;""
"Sp100\F03";"$System";"Электромагнит включен";No;No;0;No;Off;"";"";On;720;Direct;"plc3";No;"5121.02";Yes;"Сп 100 : Электромагнит включен";0;0;""
"Sp100\F04";"$System";"Барабан включен";No;No;0;No;Off;"";"";On;720;Direct;"plc3";No;"5121.03";Yes;"Сп 100 : Барабан включен";0;0;""
"Sp100\F05";"$System";"Нет питания выпрямителя";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5121.04";Yes;"Сп 100 : Нет питания выпрямителя";0;0;""
"Sp100\F06";"$System";"Режим электромагнита ''Ручной''";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5121.05";Yes;"Сп 100 : Режим электромагнита ''Ручной''";0;0;""
"Sp100\F07";"$System";"Режим электромагнита ''Автомат''";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5121.06";Yes;"Сп 100 : Режим электромагнита ''Автомат''";0;0;""
"Sp100\F08";"$System";"Нажата кнопка ""СТОП"" электромагнита";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5121.07";Yes;"Сп 100 : Нажата кнопка ""СТОП"" электромагнита";0;0;""
"Sp100\F09";"$System";"Экстренный стоп";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5121.08";Yes;"Сп 100 : Экстренный стоп";0;0;""
"Sp100\F27";"$System";"Нет исполнения команд электромагнита";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5121.10";Yes;"Сп 100 : Нет исполнения команд электромагнита";0;0;""
"Sp100\F12";"$System";"Нет связи с контроллером";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5121.11";Yes;"Сп 100 : Нет связи с контроллером";0;0;""
"Sp100\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5121.12";Yes;"Сп 100 : Неготовность";0;0;""
"Sp100\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5121.13";Yes;"Сп 100 : Пуск";0;0;""
"Sp100\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5121.14";Yes;"Сп 100 : Работа";0;0;""
"Sp100\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5121.15";Yes;"Сп 100 : Авария";0;0;""
"Sp100\F17";"$System";"Режим ''Дистанция без блокировок''";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5122.00";Yes;"Сп 100 : Режим ''Дистанция без блокировок''";0;0;""
"Sp100\F11";"$System";"Нет исполнения команд барабана";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5122.01";Yes;"Сп 100 : Нет исполнения команд барабана";0;0;""
"Sp100\F23";"$System";"Сработало УЗО";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5122.06";Yes;"Сп 100 : Сработало УЗО";0;0;""
"Sp100\F26";"$System";"Блокировка от поз.133";No;No;0;No;Off;"";"";On;720;Direct;"plc3";No;"5122.09";Yes;"Сп 100 : Блокировка от поз.133";0;0;""
"Sp100\ON";"$System";"Включить (от диспетчера)";No;No;0;No;Off;"";"";On;520;Direct;"plc3";No;"D1424.00";No;"Сп 100 : Включить (от диспетчера)";0;0;""
"Sp100\OFF";"$System";"Выключить (от диспетчера)";No;No;0;No;Off;"";"";On;520;Direct;"plc3";No;"D1424.01";No;"Сп 100 : Выключить (от диспетчера)";0;0;""
"Sp83EL\F01";"$System";"Нет питания";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5105.00";Yes;"Сп 83 ЭЛ : Нет питания";0;0;""
"Sp83EL\F02";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5105.01";Yes;"Сп 83 ЭЛ : Нажата кнопка ''СТОП''";0;0;""
"Sp83GM\F02";"$System";"Нажата кнопка ''СТОП''";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5105.02";Yes;"Сп 83 ГМ : Нажата кнопка ''СТОП''";0;0;""
"Sp83EL\F04";"$System";"Включены двигатели";No;No;0;No;Off;"";"";On;720;Direct;"plc3";No;"5105.03";Yes;"Сп 83 ЭЛ : Включены двигатели";0;0;""
"Sp83\F06";"$System";"Сработало УЗО двигателя 1";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5105.05";Yes;"Сп 83 : Сработало УЗО двигателя 1";0;0;""
"Sp83\F07";"$System";"Сработало УЗО двигателя 2";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5105.06";Yes;"Сп 83 : Сработало УЗО двигателя 2";0;0;""
"Sp83\F08";"$System";"Сработало УЗО двигателя 3";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5105.07";Yes;"Сп 83 : Сработало УЗО двигателя 3";0;0;""
"Sp83\F09";"$System";"Экстренный стоп";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5105.08";Yes;"Сп 83 : Экстренный стоп";0;0;""
"Sp83\F12";"$System";"Нет связи с контроллером";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5105.11";Yes;"Сп 83 : Нет связи с контроллером";0;0;""
"Sp83\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5105.12";Yes;"Сп 83 : Неготовность";0;0;""
"Sp83\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5105.13";Yes;"Сп 83 : Пуск";0;0;""
"Sp83\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5105.14";Yes;"Сп 83 : Работа";0;0;""
"Sp83\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5105.15";Yes;"Сп 83 : Авария";0;0;""
"Sp83EL\F17";"$System";"Режим ''Дистанция без блокировок''";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5106.00";Yes;"Сп 83 ЭЛ : Режим ''Дистанция без блокировок''";0;0;""
"Sp83GM\F17";"$System";"Режим ''Дистанция без блокировок''";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5106.01";Yes;"Сп 83 ГМ : Режим ''Дистанция без блокировок''";0;0;""
"Sp83GM\F19";"$System";"Включен гребковый механизм";No;No;0;No;Off;"";"";On;720;Direct;"plc3";No;"5106.03";Yes;"Сп 83 ГМ : Включен гребковый механизм";0;0;""
"Sp83\F20";"$System";"Отключен автомат двигателя 1";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5106.04";Yes;"Сп 83 : Отключен автомат двигателя 1";0;0;""
"Sp83\F21";"$System";"Отключен автомат двигателя 2";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5106.05";Yes;"Сп 83 : Отключен автомат двигателя 2";0;0;""
"Sp83EL\F11";"$System";"Нет исполнения команд";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5106.10";Yes;"Сп 83 ЭЛ : Нет исполнения команд";0;0;""
"Sp83EL\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5106.11";Yes;"Сп 83 ЭЛ : Неготовность";0;0;""
"Sp83EL\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5106.12";Yes;"Сп 83 ЭЛ : Пуск";0;0;""
"Sp83EL\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5106.13";Yes;"Сп 83 ЭЛ : Работа";0;0;""
"Sp83EL\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5106.14";Yes;"Сп 83 ЭЛ : Авария";0;0;""
"Sp83GM\F11";"$System";"Нет исполнения команд";No;No;0;No;Off;"";"";On;320;Direct;"plc3";No;"5106.15";Yes;"Сп 83 ГМ : Нет исполнения команд";0;0;""
"Sp83GM\F13";"$System";"Неготовность";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5107.00";Yes;"Сп 83 ГМ : Неготовность";0;0;""
"Sp83GM\F14";"$System";"Пуск";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5107.01";Yes;"Сп 83 ГМ : Пуск";0;0;""
"Sp83GM\F15";"$System";"Работа";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5107.02";Yes;"Сп 83 ГМ : Работа";0;0;""
"Sp83GM\F16";"$System";"Авария";No;No;0;No;Off;"";"";On;620;Direct;"plc3";No;"5107.03";Yes;"Сп 83 ГМ : Авария";0;0;""
